run,dataset,lr,l2_coef,hid_units,n_heads,residual,nonlinearity,param_attn_drop,param_ffd_drop,training_epochs,elapsed_time,min_validation_loss,max_val_accuracy,test_loss,test_accuracy,nhood
0,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,690,203.64186000823966,1.225988745689392,0.7440000176429749,1.4660704135894775,0.7260000109672546,1
1,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,601,178.30628395080566,1.2448973655700684,0.7380000352859497,1.297160029411316,0.7239999175071716,1
2,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,1123,325.4331572055817,1.2038722038269043,0.7419999241828918,1.2425403594970703,0.7290000319480896,1
3,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,718,209.60746264457703,1.2279274463653564,0.7380000352859497,1.4650975465774536,0.7369999885559082,1
4,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,871,252.8772587776184,1.214850902557373,0.7540000081062317,1.6760624647140503,0.7290000319480896,1
5,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,680,198.67476153373718,1.2294670343399048,0.7419999241828918,1.2834378480911257,0.7179999947547913,1
6,citeseer,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,601,220.46978044509888,1.1156842708587646,0.734000027179718,1.7814754247665403,0.7229999899864197,1
7,citeseer,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,774,286.09115624427795,1.1151151657104492,0.7299999594688416,1.1118311882019043,0.7199999094009399,1
8,citeseer,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,779,286.2982923984528,1.109331130981445,0.734000027179718,1.1440916061401367,0.7199999690055847,1
9,citeseer,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,955,360.0908043384552,1.1018338203430176,0.734000027179718,1.0980900526046753,0.7249999642372131,1
10,citeseer,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,738,283.6518008708954,1.1015154123306274,0.7360000610351562,1.100015640258789,0.7230000495910645,1
11,citeseer,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,713,264.57808136939997,1.111929178237915,0.7300000786781311,1.1117007732391355,0.7180000543594359,1
12,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,679,104.48069882392885,1.2315187454223633,0.7460001111030579,1.3506003618240356,0.7290000319480896,2
13,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,921,139.49987721443176,1.204695463180542,0.7380000352859497,1.2215421199798584,0.7180000543594359,2
14,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,656,100.65632700920105,1.230413556098938,0.7459999918937683,1.4607101678848269,0.7229999899864197,2
15,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,486,76.67718982696533,1.2633435726165771,0.7440000176429749,1.6171996593475342,0.7299999594688416,2
16,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,944,142.7279622554779,1.2000633478164673,0.7380000352859497,1.3361799716949463,0.7290000319480896,2
17,citeseer,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,791,120.42744779586792,1.2185672521591189,0.7540000081062317,1.6102313995361328,0.7289999723434448,2
18,citeseer,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,894,154.44568467140198,1.0448118448257446,0.7199999690055847,1.4769833087921145,0.7139999866485596,2
19,citeseer,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,987,168.94464230537417,1.0141332149505615,0.722000002861023,1.0197688341140747,0.7299999594688416,2
20,citeseer,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,734,128.47869753837583,1.042717218399048,0.7320000529289246,1.524756908416748,0.7139999866485596,2
21,citeseer,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,783,133.51549768447876,1.0489755868911743,0.7319999933242798,1.6315218210220337,0.7210000157356262,2
22,citeseer,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,562,98.5643904209137,1.072754979133606,0.7199999690055847,1.1981804370880127,0.7050000429153442,2
23,citeseer,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,1067,180.28941917419442,1.0133223533630369,0.7299999594688416,1.0857967138290403,0.6980000138282776,2
24,citeseer,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,744,137.18442845344543,1.340886473655701,0.747999906539917,1.3490208387374878,0.7179999947547913,1
25,citeseer,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,662,122.78950142860413,1.349750518798828,0.7479999661445618,1.531020164489746,0.7269999980926514,1
26,citeseer,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,1015,187.91957211494446,1.3289179801940918,0.7400000095367432,1.5418493747711182,0.7260000109672546,1
27,citeseer,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,719,133.32121539115906,1.345429301261902,0.734000027179718,1.7106715440750122,0.715999960899353,1
28,citeseer,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,640,121.12460947036743,1.3436689376831057,0.7380000352859497,1.36543071269989,0.7210000157356262,1
29,citeseer,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,637,119.21564435958862,1.3532487154006958,0.7559999823570251,1.484750747680664,0.7260000109672546,1
30,citeseer,0.005,0.0,[64],"[1, 1]",False,elu,0.6,0.6,1057,207.82873702049253,1.0528823137283323,0.722000002861023,1.3750399351119995,0.7130000591278076,1
31,citeseer,0.005,0.0,[64],"[1, 1]",False,elu,0.6,0.6,883,173.1607027053833,1.0697363615036009,0.7120000720024109,1.4601793289184568,0.7089999914169312,1
32,citeseer,0.005,0.0,[64],"[1, 1]",False,elu,0.6,0.6,921,179.06267929077148,1.0693297386169434,0.7240000367164612,1.5348519086837769,0.7049999833106995,1
