run,dataset,lr,l2_coef,hid_units,n_heads,residual,nonlinearity,param_attn_drop,param_ffd_drop,training_epochs,elapsed_time,min_validation_loss,max_val_accuracy,test_loss,test_accuracy,nhood
0,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,1105,122.43311738967896,0.9529616236686708,0.8239999413490295,0.9473957419395448,0.8349999785423279,1
1,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,613,70.2521412372589,1.0224130153656006,0.8239999413490295,1.1943202018737793,0.8460000157356262,1
2,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,1142,129.101811170578,0.9617881774902344,0.8260000348091125,0.9279240369796752,0.8379998803138733,1
3,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,666,75.17215371131897,1.005980134010315,0.8140000104904175,1.1219482421875,0.8319999575614929,1
4,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,778,88.95912098884583,0.996608555316925,0.8240000605583191,1.0692975521087646,0.8339999914169312,1
5,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,817,94.40209174156188,0.97298926115036,0.8219999074935913,1.1328203678131104,0.8339999914169312,1
6,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,691,82.59883522987366,1.0018116235733032,0.8240000605583191,1.1973413228988647,0.8259999752044678,1
7,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,659,116.86194133758544,0.7429736852645874,0.8279999494552612,0.7062199115753174,0.8249999284744263,1
8,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,731,124.63708877563477,0.8469644784927368,0.8179998993873596,0.8773508667945862,0.8170000314712524,1
9,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,606,101.74819374084473,0.8689156174659729,0.8179998993873596,0.8663381338119507,0.8309999704360962,1
10,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,782,130.6114330291748,0.8558878898620605,0.8180000782012941,0.8234754204750061,0.8339999914169312,1
11,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,604,107.34260129928587,0.8665270209312439,0.8199999928474426,0.9095770120620728,0.8270000219345093,1
12,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,820,135.86381220817566,0.8532683253288269,0.8179998993873596,0.9005503654479979,0.8229999542236328,1
13,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,566,101.93278479576112,0.8582450151443481,0.8259999752044678,0.8319252133369446,0.8269999623298645,1
14,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,841,143.50328898429868,0.8542687892913818,0.8199999928474426,0.9439969658851624,0.8249999284744263,1
15,cora,0.005,0.0005,[8],"[8, 8]",False,elu,0.6,0.6,653,110.32857227325441,0.8560871481895447,0.8219999074935913,1.1645565032958984,0.8129999041557312,1
16,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,606,109.03091955184937,0.7441011667251587,0.8319999575614929,0.9573849439620972,0.8239999413490295,1
17,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,697,126.64076447486877,0.7251695990562439,0.8299999833106995,0.8858301639556885,0.8169999122619629,1
18,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,1124,193.58189702034,0.6711263656616211,0.8339999914169312,0.9604333639144896,0.8090000152587891,1
19,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,1213,207.45827269554138,0.6913608908653259,0.8279998898506165,0.8375585675239563,0.8199999332427979,1
20,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,800,143.17525410652158,0.7059760093688965,0.8320000767707825,1.2399808168411257,0.8119999170303345,1
21,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,556,101.11069416999815,0.7770872712135315,0.8259999752044678,0.8578556180000305,0.828999936580658,1
22,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",True,elu,0.6,0.6,494,94.14379596710205,0.6499260067939758,0.8240000605583191,1.3334945440292358,0.8059999942779541,1
23,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",True,elu,0.6,0.6,438,83.46864342689514,0.6740006804466248,0.8239999413490295,0.8492577075958252,0.8130000233650208,1
24,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",True,elu,0.6,0.6,649,121.03570795059204,0.6400901675224304,0.8259999752044678,0.6267770528793335,0.8299999833106995,1
25,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",True,elu,0.6,0.6,561,106.47975969314577,0.643534243106842,0.8259999752044678,0.7171956300735474,0.8279999494552612,1
26,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",True,elu,0.6,0.6,446,87.87823390960693,0.6766353845596313,0.8199999928474426,0.7069896459579468,0.8210000395774841,1
27,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",True,elu,0.6,0.6,581,105.4510374069214,0.6345806717872621,0.8199999332427979,0.8901071548461914,0.8090000152587891,1
28,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,823,47.15601468086243,0.9839444160461426,0.8240000605583191,0.9558907747268676,0.8329999446868896,2
29,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,1018,52.55155825614929,0.9587775468826294,0.8239999413490295,1.011829137802124,0.8299999833106995,2
30,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,606,35.531577825546265,1.0102306604385376,0.8179998993873596,0.9828925728797911,0.8359999656677246,2
31,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,544,32.95202898979187,1.0374605655670166,0.8220000267028809,1.0894569158554075,0.8420000076293945,2
32,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,930,53.55014133453369,0.977677285671234,0.8220000267028809,1.076029658317566,0.8249999284744263,2
33,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.6,0.6,587,34.734547853469856,1.0387853384017944,0.8199999928474426,1.1460466384887695,0.8319999575614929,2
34,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,663,54.01535415649414,0.7390509247779846,0.8199999928474426,0.7153396010398865,0.8209999203681946,2
35,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,705,56.32929039001465,0.7489312291145325,0.8299999833106995,1.0803443193435671,0.8259999752044678,2
36,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,545,45.39700436592102,0.7408258318901062,0.8359999656677246,1.2974773645401,0.8349999785423279,2
37,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,649,50.15151929855347,0.7451971769332886,0.8300000429153442,0.8032861948013306,0.8189999461174011,2
38,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,640,50.73464846611023,0.7386505007743835,0.8180000185966492,1.2876514196395874,0.8199999332427979,2
39,cora,0.005,0.0005,"[8, 8]","[8, 8, 1]",False,elu,0.6,0.6,801,62.46427178382874,0.7345820069313049,0.8239998817443848,1.064423680305481,0.8249999284744263,2
40,cora,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,912,47.68250608444214,1.1260496377944946,0.8259999752044678,1.6247789859771729,0.8369999527931213,1
41,cora,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,936,49.31307291984558,1.1009447574615479,0.8279999494552612,1.2243156433105469,0.8239999413490295,1
42,cora,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,1211,60.03634691238403,1.0853224992752075,0.8240000605583191,1.1600409746170044,0.8219999074935913,1
43,cora,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,848,44.02804446220398,1.1329734325408936,0.8259998559951782,1.1272761821746826,0.8209999203681946,1
44,cora,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,1314,62.747034788131714,1.0904583930969238,0.8220000267028809,1.4433362483978271,0.8229999542236328,1
45,cora,0.005,0.0005,[64],"[1, 1]",False,elu,0.6,0.6,1159,55.5464346408844,1.0972280502319336,0.8300000429153442,1.4194679260253906,0.8410000205039978,1
46,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.6,0.6,696,83.72791314125061,0.7476610541343689,0.8259999752044678,1.1000040769577026,0.8240000605583191,1
47,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.6,0.6,932,104.9873468875885,0.7177006006240845,0.8259999752044678,0.8561080694198608,0.8279999494552612,1
48,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.6,0.6,878,95.41065263748169,0.7235796451568604,0.8119999766349792,1.2358721494674685,0.8210000395774841,1
49,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.6,0.6,940,103.82374358177185,0.7085457444190979,0.8199999332427979,0.8557689785957336,0.8199999928474426,1
50,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.6,0.6,828,102.07236099243164,0.7138356566429138,0.8239999413490295,0.8863595724105835,0.8299999833106995,1
